ItemName	ItemURL	PriceData	Rating	RatingCount
WD 2TB Elements Portable External Hard Drive HDD, USB 3.0, Compatible with PC, Mac, PS4 & Xbox - WDBU6Y0020BBK-WESN	/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_2?dchild=1&qid=1612855571&s=pc&sr=1-2	$62.99	4.7 out of 5 stars	130,920
Seagate Portable 2TB External Hard Drive Portable HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX2000400)	/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_3?dchild=1&qid=1612855571&s=pc&sr=1-3	$62.99	4.7 out of 5 stars	98,349
Samsung SSD 860 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-76E1T0B/AM)	/Samsung-Inch-Internal-MZ-76E1T0B-AM/dp/B078DPCY3T/ref=sr_1_4?dchild=1&qid=1612855571&s=pc&sr=1-4	$114.99 $199.99	4.9 out of 5 stars	57,182
Samsung (MZ-V7E1T0BW) 970 EVO SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology, Black/Red	/Samsung-970-EVO-1TB-MZ-V7E1T0BW/dp/B07BN217QG/ref=sr_1_5?dchild=1&qid=1612855571&s=pc&sr=1-5	$139.99 $179.99	4.9 out of 5 stars	25,214
Seagate BarraCuda 2TB Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache 3.5-Inch – Frustration Free Packaging (ST2000DM008)	/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H2RR55Q/ref=sr_1_7?dchild=1&qid=1612855571&s=pc&sr=1-7	$55.49	4.7 out of 5 stars	47,599
Samsung (MZ-V7S1T0B/AM) 970 EVO Plus SSD 1TB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology	/Samsung-970-EVO-Plus-MZ-V7S1T0B/dp/B07MFZY2F2/ref=sr_1_8?dchild=1&qid=1612855571&s=pc&sr=1-8	$159.99 $249.99	4.9 out of 5 stars	19,148
Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16)	/Corsair-Vengeance-3200MHz-Desktop-Memory/dp/B0143UM4TC/ref=sr_1_9?dchild=1&qid=1612855571&s=pc&sr=1-9	$87.99	4.8 out of 5 stars	71,712
AMD Ryzen 9 5900X 12-core, 24-Thread Unlocked Desktop Processor Without Cooler	/AMD-Ryzen-5900X-24-Thread-Processor/dp/B08164VTWH/ref=sr_1_10?dchild=1&qid=1612855571&s=pc&sr=1-10		4.8 out of 5 stars	341
AMD Ryzen 9 5950X 16-core, 32-Thread Unlocked Desktop Processor Without Cooler	/AMD-Ryzen-5950X-32-Thread-Processor/dp/B0815Y8J9N/ref=sr_1_12?dchild=1&qid=1612855571&s=pc&sr=1-12		4.6 out of 5 stars	120
SAMSUNG T5 Portable SSD 1TB - Up to 540MB/s - USB 3.1 External Solid State Drive, Black (MU-PA1T0B/AM)	/Samsung-T5-Portable-SSD-MU-PA1T0B/dp/B073H552FJ/ref=sr_1_13?dchild=1&qid=1612855571&s=pc&sr=1-13	$119.99	4.8 out of 5 stars	7,462
"SAMSUNG 870 QVO SATA III 2.5"" SSD 1TB (MZ-77Q1T0B)"	/SAMSUNG-870-QVO-SATA-MZ-77Q1T0B/dp/B089C73T72/ref=sr_1_14?dchild=1&qid=1612855571&s=pc&sr=1-14	$109.99 $129.99	4.8 out of 5 stars	4,199
External CD Drive USB 3.0 Portable CD DVD +/-RW Drive DVD/CD ROM Rewriter Burner Writer Compatible with Laptop Desktop PC Windows Mac Pro MacBook	/Rioddas-External-Portable-Rewriter-Superdrive/dp/B07DLRG9VH/ref=sr_1_15?dchild=1&qid=1612855571&s=pc&sr=1-15	$22.99	4.4 out of 5 stars	19,998
"Western Digital 500GB WD Blue 3D NAND Internal PC SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS500G2B0A"	/Blue-NAND-500GB-SSD-WDS500G2B0A/dp/B073SBZ8YH/ref=sr_1_17?dchild=1&qid=1612855571&s=pc&sr=1-17	$59.99 $99.99	4.8 out of 5 stars	34,668
AMD Ryzen 5 5600X 6-core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler	/AMD-Ryzen-5600X-12-Thread-Processor/dp/B08166SLDF/ref=sr_1_18?dchild=1&qid=1612855571&s=pc&sr=1-18	$389.75	4.8 out of 5 stars	1,054
Elgato HD60 S Capture Card 1080p 60 Capture, Zero-Lag Passthrough, Ultra-Low Latency, PS5, PS4, Xbox Series X/S, Xbox One, Nintendo Switch, USB 3.0 (1GC109901004)	/Elgato-Game-Capture-HD60-PlayStation/dp/B01DRWCOGA/ref=sr_1_19?dchild=1&qid=1612855571&s=pc&sr=1-19	$143.99 $179.99	4.6 out of 5 stars	13,407
Elgato Cam Link 4K — Broadcast Live, Record via DSLR, Camcorder, or Action Cam, 1080p60 or 4K at 30 FPS, Compact HDMI Capture Device, USB 3.0	/Elgato-Cam-Link-Broadcast-Camcorder/dp/B07K3FN5MR/ref=sr_1_20?dchild=1&qid=1612855571&s=pc&sr=1-20	$108.99 $129.99	4.6 out of 5 stars	4,821
"Kingston 240GB A400 SATA 3 2.5"" Internal SSD SA400S37/240G - HDD Replacement for Increase Performance"	/Kingston-240GB-Solid-SA400S37-240G/dp/B01N5IB20Q/ref=sr_1_23?dchild=1&qid=1612855571&s=pc&sr=1-23	$30.48 $34.99	4.8 out of 5 stars	93,302
EVGA 08G-P5-3755-KR GeForce RTX 3070 XC3 Ultra Gaming, 8GB GDDR6, iCX3 Cooling, ARGB LED, Metal Backplate	/EVGA-08G-P5-3755-KR-GeForce-Cooling-Backplate/dp/B08L8L71SM/ref=sr_1_24?dchild=1&qid=1612855571&s=pc&sr=1-24		4.5 out of 5 stars	203
Western Digital 1TB WD Blue SN550 NVMe Internal SSD - Gen3 x4 PCIe 8Gb/s, M.2 2280, 3D NAND, Up to 2,400 MB/s - WDS100T2B0C	/Blue-SN550-1TB-NVMe-Internal/dp/B07YFFX5MD/ref=sr_1_25?dchild=1&qid=1612855571&s=pc&sr=1-25	$99.99 $124.99	4.8 out of 5 stars	12,221
ARCTIC MX-4 - Thermal Compound Paste For Coolers | Heat Sink Paste | Composed of Carbon Micro-particles | Easy to Apply | High Durability - 4 Grams	/ARCTIC-MX-4-Compound-Micro-particles-Durability/dp/B0795DP124/ref=sr_1_26?dchild=1&qid=1612855571&s=pc&sr=1-26	$12.99 $22.00	4.8 out of 5 stars	23,347
Toshiba (HDTB420XK3AA) Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black	/Toshiba-HDTB420XK3AA-Canvio-Portable-External/dp/B079D3D8NR/ref=sr_1_27?dchild=1&qid=1612855571&s=pc&sr=1-27	$59.99	4.7 out of 5 stars	27,808
Seagate (STGD2000100) Game Drive for PS4 Systems 2TB External Hard Drive Portable HDD – USB 3.0, Officially Licensed Product	/Seagate-Drive-Systems-External-Portable/dp/B07M9VCHDG/ref=sr_1_28?dchild=1&qid=1612855571&s=pc&sr=1-28	$77.36 $109.99	4.8 out of 5 stars	19,131
External DVD Drive, USB 3.0 Portable CD/DVD+/-RW Drive/DVD Player for Laptop CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black	/External-CD-DVD-Drive-Compatible/dp/B07MJW5BXZ/ref=sr_1_29?dchild=1&qid=1612855571&s=pc&sr=1-29	$22.99 $26.99	4.4 out of 5 stars	10,494
SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s - USB-C, USB 3.2 Gen 2 - External Solid State Drive - SDSSDE61-1T00-G25	/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_30?dchild=1&qid=1612855571&s=pc&sr=1-30	$159.99 $249.99	4.8 out of 5 stars	32,652
WD 2TB My Passport Portable External Hard Drive, Black - WDBYVG0020BBK-WESN	/Passport-Portable-External-Drive-Black/dp/B07VTFN6HM/ref=sr_1_27?dchild=1&qid=1612855571&s=pc&sr=1-27	$59.99 $79.99	4.7 out of 5 stars	27,201
AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor Without Cooler Black, XX-Large	/AMD-Ryzen-5800X-16-Thread-Processor/dp/B0815XFSGK/ref=sr_1_28?dchild=1&qid=1612855571&s=pc&sr=1-28	$532.00	4.8 out of 5 stars	826
Corsair Vengeance RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black (CMW16GX4M2C3200C16)	/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B07D1XCKWW/ref=sr_1_29?dchild=1&qid=1612855571&s=pc&sr=1-29	$104.99	4.8 out of 5 stars	27,550
Seagate IronWolf 4TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 5900 RPM 64MB Cache for RAID Network Attached Storage – Frustration Free Packaging (ST4000VN008)	/Seagate-IronWolf-5900RPM-Internal-3-5-Inch/dp/B07H289S79/ref=sr_1_30?dchild=1&qid=1612855571&s=pc&sr=1-30	$104.99 $110.99	4.7 out of 5 stars	8,112
SanDisk 2TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2 - External Solid State Drive - SDSSDE81-2T00-G25	/SanDisk-2TB-Extreme-Portable-SDSSDE81-2T00-G25/dp/B08GV4YYV7/ref=sr_1_31?dchild=1&qid=1612855571&s=pc&sr=1-31	$339.99 $509.99	4.8 out of 5 stars	2,853
ELEGOO UNO Project Super Starter Kit with Tutorial and UNO R3 Compatible with Arduino IDE	/ELEGOO-Project-Tutorial-Controller-Projects/dp/B01D8KOZF4/ref=sr_1_32?dchild=1&qid=1612855571&s=pc&sr=1-32	$36.99	4.7 out of 5 stars	7,024
SAMSUNG 870 EVO 500GB 2.5 Inch SATA III Internal SSD (MZ-77E500B/AM)	/SAMSUNG-500GB-Internal-MZ-77E500B-AM/dp/B08QBMD6P4/ref=sr_1_33?dchild=1&qid=1612855571&s=pc&sr=1-33	$69.99	4.9 out of 5 stars	45
Seagate Storage Expansion Card for Xbox Series X|S 1TB Solid State Drive - NVMe Expansion SSD for Xbox Series X|S (STJR1000400)	/Seagate-Storage-Expansion-Solid-State/dp/B08K3S6WJM/ref=sr_1_34?dchild=1&qid=1612855571&s=pc&sr=1-34	$214.99	4.8 out of 5 stars	31,306
Corsair RMX Series, RM750x, 750 Watt, 80+ Gold Certified, Fully Modular Power Supply (CP-9020179-NA)	/CORSAIR-RM750x-Certified-Modular-Supply/dp/B079HGN5QS/ref=sr_1_35?dchild=1&qid=1612855571&s=pc&sr=1-35	$129.99	4.8 out of 5 stars	4,286
Corsair VENGEANCE RGB PRO 32GB (2x16GB) DDR4 3600 (PC4-28800) C18 AMD Optimized Memory – Black	/Corsair-Vengeance-2x16GB-PC4-28800-Optimized/dp/B082DGZJ9C/ref=sr_1_36?dchild=1&qid=1612855571&s=pc&sr=1-36	$174.99 $208.00	4.8 out of 5 stars	2,009
EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate, 24G-P5-3987-KR	/EVGA-GeForce-Technology-Backplate-24G-P5-3987-KR/dp/B08J5F3G18/ref=sr_1_37?dchild=1&qid=1612855571&s=pc&sr=1-37		4.3 out of 5 stars	118
Intel Core i5-10400 Desktop Processor 6 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110400	/Intel-i5-10400-Desktop-Processor-LGA1200/dp/B086MN38Q2/ref=sr_1_38?dchild=1&qid=1612855571&s=pc&sr=1-38	$159.99 $182.00	4.8 out of 5 stars	1,041
SAMSUNG 980 PRO 1TB PCIe NVMe Gen4 Internal Gaming SSD M.2 (MZ-V8P1T0B)	/SAMSUNG-PCIe-Internal-Gaming-MZ-V8P1T0B/dp/B08GLX7TNT/ref=sr_1_41?dchild=1&qid=1612855571&s=pc&sr=1-41	$229.99	4.8 out of 5 stars	932
Elgato HD60 S+ Capture Card1080p60 HDR10 capture, 4K60 HDR10 zero-lag passthrough, ultra-low latency, PS5, PS4/Pro, Xbox Series X/S, Xbox One X/S, USB 3.0	/Corsair-Zero-lag-passthrough-Ultra-Low-Technology/dp/B07XB6VNLJ/ref=sr_1_42?dchild=1&qid=1612855571&s=pc&sr=1-42	$197.99	4.6 out of 5 stars	1,716
WD_Black 5TB P10-Game Drive, Portable External Hard Drive Compatible with -Playstation, Xbox, PC, & Mac - WDBA3A0050BBK-WESN	/WD_Black-Drive-External-Compatible-WDBA3A0050BBK-WESN/dp/B07VNTFHD5/ref=sr_1_43?dchild=1&qid=1612855571&s=pc&sr=1-43	$119.99 $149.99	4.8 out of 5 stars	16,705
CanaKit Raspberry Pi 4 4GB Starter PRO Kit - 4GB RAM	/CanaKit-Raspberry-4GB-Starter-Kit/dp/B07V5JTMV9/ref=sr_1_44?dchild=1&qid=1612855571&s=pc&sr=1-44	$99.98	4.8 out of 5 stars	5,349
WD_Black SN750 1TB NVMe Internal Gaming SSD - Gen3 PCIe, M.2 2280, 3D NAND - WDS100T3X0C	/Black-SN750-NVMe-Internal-Gaming/dp/B07M64QXMN/ref=sr_1_45?dchild=1&qid=1612855571&s=pc&sr=1-45	$134.99	4.9 out of 5 stars	14,127
MSI Arsenal Gaming AMD Ryzen 2ND and 3rd Gen AM4 M.2 USB 3 DDR4 DVI HDMI Crossfire ATX Motherboard (B450 TOMAHAWK Max) (B450TOMAMAX)	/MSI-Crossfire-Motherboard-Tomahawk-B450TOMAMAX/dp/B07WF6ZQST/ref=sr_1_46?dchild=1&qid=1612855571&s=pc&sr=1-46	$124.99	4.8 out of 5 stars	4,786
ASUS NVIDIA GeForce GT 710 Graphics Card (PCIe 2.0, 2GB GDDR5 Memory, 4X HDMI Ports, Single-Slot Design, Passive Cooling)	/ASUS-GeForce-Graphics-Single-Slot-Passive/dp/B08DS13LLZ/ref=sr_1_47?dchild=1&qid=1612855571&s=pc&sr=1-47		4.5 out of 5 stars	210
Crucial MX500 500GB 3D NAND SATA 2.5 Inch Internal SSD, up to 560MB/s - CT500MX500SSD1	/Crucial-MX500-500GB-NAND-Internal/dp/B0786QNS9B/ref=sr_1_48?dchild=1&qid=1612855571&s=pc&sr=1-48	$54.99 $69.99	4.8 out of 5 stars	73,946
"Western Digital 1TB WD Green Internal PC SSD - SATA III 6 Gb/s, N/A, 2.5""/7mm, - WDS100T2G0A"	/Green-1TB-Internal-SSD-WDS100T2G0A/dp/B07NNRTTCM/ref=sr_1_49?dchild=1&qid=1612855571&s=pc&sr=1-49	$94.99 $105.99	4.8 out of 5 stars	18,316
ASUS TUF Gaming NVIDIA GeForce RTX 3070 OC Edition Graphics Card- PCIe 4.0, 8GB GDDR6, HDMI 2.1 , DisplayPort 1.4a, Dual Ball Fan Bearings	/ASUS-GeForce-Graphics-DisplayPort-Bearings/dp/B08L8KC1J7/ref=sr_1_50?dchild=1&qid=1612855571&s=pc&sr=1-50		4.5 out of 5 stars	65
ZOTAC GeForce GT 730 Zone Edition 4GB DDR3 PCI Express 2.0 x16 (x8 lanes) Graphics Card (ZT-71115-20L)	/ZOTAC-GeForce-Express-Graphics-ZT-71115-20L/dp/B00R5UW038/ref=sr_1_51?dchild=1&qid=1612855571&s=pc&sr=1-51	$89.99	4.3 out of 5 stars	1,209
AMD Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler (YD1600BBAFBOX)	/AMD-Processor-Wraith-Stealth-Cooler/dp/B07XTQZJ28/ref=sr_1_52?dchild=1&qid=1612855571&s=pc&sr=1-52	$169.00	4.8 out of 5 stars	4,954
Corsair Vengeance LPX 16GB (2 X 8GB) DDR4 3600 (PC4-28800) C18 1.35V Desktop Memory - Black (CMK16GX4M2D3600C18)	/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07RM39V5F/ref=sr_1_51?dchild=1&qid=1612855574&s=pc&sr=1-51	$91.99 $114.00	4.8 out of 5 stars	6,668
ASUS ROG Strix NVIDIA GeForce RTX 3090 Gaming Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, 2.9-Slot	/ASUS-Graphics-DisplayPort-Axial-tech-2-9-Slot/dp/B08J6GMWCQ/ref=sr_1_52?dchild=1&qid=1612855574&s=pc&sr=1-52	$2,699.99$2,699.99	4.7 out of 5 stars	61
Elgato Video Capture - Digitize Video for Mac, PC or iPad (USB 2.0)	/Elgato-Video-Capture-Digitize-iPad/dp/B0029U2YSA/ref=sr_1_53?dchild=1&qid=1612855574&s=pc&sr=1-53	$87.11	4.5 out of 5 stars	6,019
NZXT H510 - CA-H510B-W1 - Compact ATX Mid-Tower PC Gaming Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - Cable Management System - Water-Cooling Ready - White/Black	/NZXT-H510-Management-Water-Cooling-Construction/dp/B07TC76671/ref=sr_1_54?dchild=1&qid=1612855574&s=pc&sr=1-54	$69.99 $79.99	4.8 out of 5 stars	17,149
ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Gaming Graphics Card (PCIe 4.0, 8GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, Axial-tech Fan Design, Dual BIOS, Protective Backplate, GPU Tweak II)	/ASUS-DisplayPort-Axial-tech-Protective-Backplate/dp/B08L8LG4M3/ref=sr_1_55?dchild=1&qid=1612855574&s=pc&sr=1-55		4.8 out of 5 stars	57
WD 12TB Elements Desktop Hard Drive HDD, USB 3.0, Compatible with PC, Mac, PS4 & Xbox - WDBWLG0120HBK-NESN	/12TB-Elements-Desktop-Drive-WDBWLG0120HBK-NESN/dp/B07X4V2M3B/ref=sr_1_56?dchild=1&qid=1612855574&s=pc&sr=1-56	$219.99 $249.99	4.7 out of 5 stars	13,603
Cooler Master Hyper 212 RGB Black Edition CPU Air Cooler, SF120R RGB Fan, 4 CD 2.0 Heatpipes, Anodized Gun-Metal Black, Brushed Nickel Fins, RGB Lighting for AMD Ryzen/Intel LGA1151	/Cooler-Master-RR-212S-20PC-R1-Direct-Contact/dp/B07H22TC1N/ref=sr_1_57?dchild=1&qid=1612855574&s=pc&sr=1-57	$39.99 $44.99	4.7 out of 5 stars	26,029
Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W	/Intel-i7-9700K-Desktop-Processor-Unlocked/dp/B07HHN6KBZ/ref=sr_1_58?dchild=1&qid=1612855574&s=pc&sr=1-58	$306.99 $409.99	4.8 out of 5 stars	6,711
Corsair Vengeance RGB Pro 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory – Black	/CORSAIR-Vengeance-3200MHz-PC4-25600-CMW32GX4M2E3200C16/dp/B081XWLQKS/ref=sr_1_59?dchild=1&qid=1612855574&s=pc&sr=1-59	$166.99	4.7 out of 5 stars	49
Dell USB DVD Drive-DW316	/Dell-DW316-USB-DVD-Drive-DW316/dp/B00VWVZ0V0/ref=sr_1_60?dchild=1&qid=1612855574&s=pc&sr=1-60	$29.99 $59.99	4.6 out of 5 stars	6,792
Cooler Master MasterLiquid ML240L RGB V2, Close-Loop AIO CPU Liquid Cooler, 240 Radiator, Dual SickleFlow 120mm, RGB Lighting, 3rd Gen Dual Chamber Pump for AMD Ryzen/Intel LGA1151	/CoolerMaster-MasterLiquid-Close-Loop-Cooler-SickleFlow/dp/B086BYYFG5/ref=sr_1_61?dchild=1&qid=1612855574&s=pc&sr=1-61	$79.99	4.5 out of 5 stars	5,965
TP-Link WiFi 6 AX3000 PCIe WiFi Card for PC with Heat Sink (Archer TX50E), Bluetooth 5.0, 802.11AX Dual Band Wireless Adapter with MU-MIMO, Ultra-Low Latency, Supports Windows 10 (64bit) only	/Network-PCIE-Wifi-6-Card/dp/B089FCX3C3/ref=sr_1_62?dchild=1&qid=1612855574&s=pc&sr=1-62	$44.99	4.6 out of 5 stars	2,095
ASUS ROG Strix B550-F Gaming (WiFi 6) AMD AM4 Zen 3 Ryzen 5000 & 3rd Gen Ryzen ATX Gaming Motherboard (PCIe 4.0, 2.5Gb LAN, BIOS Flashback, HDMI 2.1, Addressable Gen 2 RGB Header and Aura Sync)	/ASUS-ROG-B550-F-Motherboard-Addressable/dp/B088VSTS9H/ref=sr_1_65?dchild=1&qid=1612855574&s=pc&sr=1-65	$203.99	4.8 out of 5 stars	1,067
ASUS AM4 TUF Gaming X570-Plus (Wi-Fi) AM4 Zen 3 Ryzen 5000 & 3rd Gen Ryzen ATX Motherboard With PCIe 4.0, Dual M.2, 12+2 With Dr. MOS Power Stage	/ASUS-TUF-X570-Plus-Motherboard-Lighting/dp/B07SXF8GY3/ref=sr_1_66?dchild=1&qid=1612855574&s=pc&sr=1-66	$199.00	4.7 out of 5 stars	3,948
Raspberry Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (4GB)	/Raspberry-Model-2019-Quad-Bluetooth/dp/B07TC2BK1X/ref=sr_1_67?dchild=1&qid=1612855574&s=pc&sr=1-67	$61.88	4.8 out of 5 stars	12,420
LaCie LAC9000298 Rugged Mini 2TB External Hard Drive Portable HDD - USB 3.0 USB 2.0 Compatible, Drop Shock Dust Rain Resistant Shuttle Drive, For Mac And PC Computer Desktop Workstation PC Laptop	/LaCie-Rugged-External-Portable-LAC9000298/dp/B00IRV005E/ref=sr_1_68?dchild=1&qid=1612855574&s=pc&sr=1-68	$99.99	4.7 out of 5 stars	8,513
ELEGOO Mega 2560 Project The Most Complete Ultimate Starter Kit w/Tutorial Compatible with Arduino IDE	/EL-KIT-008-Project-Complete-Ultimate-TUTORIAL/dp/B01EWNUUUA/ref=sr_1_69?dchild=1&qid=1612855574&s=pc&sr=1-69	$59.99	4.7 out of 5 stars	3,666
SAMSUNG T7 Portable SSD 1TB - Up to 1050MB/s - USB 3.2 External Solid State Drive, Gray (MU-PC1T0T/AM)	/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_70?dchild=1&qid=1612855574&s=pc&sr=1-70	$159.99 $199.99	4.8 out of 5 stars	5,814
Asus Prime Z390-A Motherboard LGA1151 (Intel 8th And 9th Gen) ATX DDR4 DP HDMI M.2 USB 3.1 Gen2 Gigabit LAN	/Prime-Z390-Motherboard-LGA1151-Gigabit/dp/B07HCY7K9L/ref=sr_1_71?dchild=1&qid=1612855574&s=pc&sr=1-71	$169.83 $179.99	4.7 out of 5 stars	2,692
WD 2TB My Passport for Mac Portable External Hard Drive - Blue, USB-C/USB-A - WDBA2D0020BBL-WESN	/Passport-Portable-External-Drive-WDBA2D0020BBL-WESN/dp/B07VSPL8FJ/ref=sr_1_72?dchild=1&qid=1612855574&s=pc&sr=1-72	$69.99 $89.99	4.6 out of 5 stars	4,282
MSI MAG B550 TOMAHAWK Gaming Motherboard (AMD AM4, DDR4, PCIe 4.0, SATA 6Gb/s, M.2, USB 3.2 Gen 2, HDMI/DP, ATX, AMD Ryzen 5000 Series processors)	/MSI-MAG-B550-TOMAHAWK-Motherboard/dp/B089CWDHFZ/ref=sr_1_73?dchild=1&qid=1612855574&s=pc&sr=1-73	$179.99	4.7 out of 5 stars	1,203
"Western Digital 1TB WD Blue PC Hard Drive - 7200 RPM Class, SATA 6 Gb/s, , 64 MB Cache, 3.5"" - WD10EZEX"	/WD-Blue-1TB-Hard-Drive/dp/B0088PUEPK/ref=sr_1_74?dchild=1&qid=1612855574&s=pc&sr=1-74	$42.99	4.7 out of 5 stars	49,632
Seagate BarraCuda 1TB Internal Hard Drive HDD – 2.5 Inch SATA 6 Gb/s 5400 RPM 128MB Cache for PC Laptop – Frustration Free Packaging (ST1000LM048)	/Seagate-BarraCuda-Internal-Drive-2-5-Inch/dp/B07H28QRKN/ref=sr_1_75?dchild=1&qid=1612855574&s=pc&sr=1-75	$44.99 $49.99	4.7 out of 5 stars	6,362
Intel Core i5-10600K Desktop Processor 6 Cores up to 4.8 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W	/Intel-i5-10600K-Desktop-Processor-Unlocked/dp/B086MHSH2C/ref=sr_1_76?dchild=1&qid=1612855574&s=pc&sr=1-76	$229.99 $263.00	4.8 out of 5 stars	506
